period,org_code,type,attendances,breaches,admissions
2017-02-01,RF4,1,17917,2694,4208
2017-02-01,RF4,2,616,4,0
2017-02-01,RF4,other,2673,20,0
2017-02-01,R1H,1,25955,6186,5820
2017-02-01,R1H,2,651,0,0
2017-02-01,R1H,other,9882,172,0
2017-02-01,AD913,other,3768,2,0
2017-02-01,RYX,other,17023,144,0
2017-02-01,RQM,1,14482,1942,3188
2017-02-01,RQM,other,6680,91,0
2017-02-01,RJ6,1,5761,1374,2021
2017-02-01,RJ6,other,3202,21,0
2017-02-01,Y02696,other,1016,0,0
2017-02-01,NX122,other,2261,0,0
2017-02-01,RVR,1,10654,534,3003
2017-02-01,RVR,2,484,2,8
2017-02-01,RJ1,1,10683,1471,2867
2017-02-01,RJ1,2,700,0,0
2017-02-01,RJ1,other,2634,5,0
2017-02-01,Y03082,other,3459,0,0
2017-02-01,RQX,1,8790,507,1498
2017-02-01,RY9,other,4088,1,0
2017-02-01,RYJ,1,8452,2565,2835
2017-02-01,RYJ,2,3672,13,8
2017-02-01,RYJ,other,9528,57,0
2017-02-01,RJZ,1,15070,3754,4017
2017-02-01,RJZ,2,1880,1,0
2017-02-01,RJZ,other,4192,175,0
2017-02-01,RAX,1,7677,1121,1646
2017-02-01,RAX,2,915,0,0
2017-02-01,RJ2,1,16054,3095,4397
2017-02-01,RJ2,other,5012,0,0
2017-02-01,R1K,1,10644,4616,4050
2017-02-01,R1K,other,14585,109,0
2017-02-01,RP6,2,7527,100,20
2017-02-01,RAT,other,4539,35,0
2017-02-01,RAP,1,13091,2314,2233
2017-02-01,Y02973,other,757,0,0
2017-02-01,AF003,other,425,0,0
2017-02-01,AF002,other,545,0,0
2017-02-01,RAL,1,16388,2485,3255
2017-02-01,RAL,other,2831,0,0
2017-02-01,Y03047,other,1797,0,0
2017-02-01,RJ7,1,11454,1178,3429
2017-02-01,RJ7,other,1065,0,0
2017-02-01,F84747,other,2297,0,0
2017-02-01,RAS,1,5179,2175,1697
